tumor_suppressor_genes,oncogenes,protein_kinases,cell_differentiation_markers,transcription_factors,cytokines_and_growth_factors
,,,,cg10719100,
,,,,cg17722469,
,,,,cg15963062,
,,,,cg06621169,
,,,,cg20672363,
,,,,cg06709066,
,,,,cg02616160,
,,,,cg10639435,
,,,,cg08819934,
,,,,cg23712897,
,,,,cg11075878,
,,,,cg20145760,
,,,,cg13514955,
,,,,cg08437984,
,,,,cg12732805,
,,,,cg17198776,
,,,,cg24648864,
,,,,cg26421123,
,,,,cg10719100,
,,,,cg17722469,
,,,,cg15963062,
,,,,cg06621169,
,,,,cg20672363,
,,,,cg06709066,
,,,,cg26029292,
,,,,cg20845050,
,,,,cg11391036,
,,,,cg20438451,
,,,,cg12806282,
,,,,cg04926347,
,,,,cg13551243,
,,,,cg18063222,
,,,,cg05797606,
,,,,cg23534983,
,,,,cg23761161,
,,,,cg01319235,
,,,,cg16901014,
,,,,cg16823945,
,,,,cg00709393,
,,,,cg15684394,
,,,,cg07505363,
,,,,cg02515043,
,,,,cg19354255,
,,,,cg00774155,
,,,,cg09320337,
,,,,cg00820958,
,,,,cg01794812,
,,,,cg27449959,
,,,,cg19233757,
,,,,cg03871824,
,,,,cg16101257,
,,,,cg12270520,
,,,,cg00154455,
,,,,cg03571145,
,,,,cg01981108,
,,,,cg19526425,
,,,,cg11631160,
,,,,cg11609366,
,,,,cg06454326,
,,,,cg26911140,
,,,,cg05427356,
,,,,cg07296766,
,,,,cg00904138,
,,,,cg00517855,
,,,,cg02243665,
,,,,cg08985669,
,,,,cg05483406,
,,,,cg11133895,
,,,,cg17016301,
,,,,cg02167877,
,,,,cg10940957,
,,,,cg26483359,
,,,,cg19845159,
,,,,cg05400811,
,,,,cg02229095,
,,,,cg13486899,
,,,,cg06263013,
,,,,cg10356601,
,,,,cg12718298,
,,,,cg27391399,
,,,,cg09499629,
,,,,cg08097417,
,,,,cg00094518,
,,,,cg20426994,
,,,,cg04528819,
,,,,cg23399222,
,,,,cg02814590,
,,,,cg02332073,
,,,,cg11058932,
,,,,cg15877425,
,,,,cg22157629,
,,,,cg26221293,
,,,,cg21574752,
,,,,cg26055082,
,,,,cg16250177,
,,,,cg27195917,
,,,,cg02273422,
,,,,cg26269797,
,,,,cg23521603,
,,,,cg12909444,
,,,,cg03767357,
,,,,cg04678743,
,,,,cg17702076,
,,,,cg02385110,
,,,,cg09529138,
,,,,cg03914913,
,,,,cg06038655,
,,,,cg17317023,
,,,,cg18645297,
,,,,cg02778245,
,,,,cg08719712,
,,,,cg06533629,
,,,,cg21520933,
,,,,cg22285878,
,,,,cg07955995,
,,,,cg26553736,
,,,,cg15825617,
,,,,cg15487282,
,,,,cg25590798,
,,,,cg05118636,
,,,,cg23000765,
,,,,cg10470524,
,,,,cg08036668,
,,,,cg25860737,
,,,,cg18736186,
,,,,cg19183542,
,,,,cg12290394,
,,,,cg14317651,
,,,,cg16408583,
,,,,cg08060515,
,,,,cg02606218,
,,,,cg02706205,
,,,,cg06476228,
,,,,cg11804248,
,,,,cg20973743,
,,,,cg22873892,
,,,,cg15880762,
,,,,cg08017248,
,,,,cg15029192,
,,,,cg14482068,
,,,,cg19405329,
,,,,cg22549853,
,,,,cg11748880,
,,,,cg08331219,
,,,,cg14783123,
,,,,cg27473073,
,,,,cg01129439,
,,,,cg24190223,
,,,,cg24982582,
,,,,cg06602601,
,,,,cg06416985,
,,,,cg13437005,
,,,,cg22433775,
,,,,cg16169373,
,,,,cg24281422,
,,,,cg26572856,
,,,,cg10858572,
,,,,cg21320567,
,,,,cg07896832,
,,,,cg26329349,
,,,,cg15754109,
,,,,cg10073129,
,,,,cg19439666,
,,,,cg22680369,
,,,,cg03535933,
,,,,cg24823832,
,,,,cg24549224,
,,,,cg05484231,
,,,,cg07593845,
,,,,cg11916800,
,,,,cg26623455,
,,,,cg25242004,
,,,,cg10838789,
,,,,cg21189727,
,,,,cg03024587,
,,,,cg03780545,
,,,,cg15744359,
,,,,cg27465717,
,,,,cg23668806,
,,,,cg21707311,
,,,,cg18706879,
,,,,cg21135682,
,,,,cg04327761,
,,,,cg21571665,
,,,,cg04908325,
,,,,cg12152256,
,,,,cg23593295,
,,,,cg01805469,
,,,,cg20014585,
,,,,cg14945287,
,,,,cg23475480,
,,,,cg10784821,
,,,,cg16524108,
,,,,cg07807817,
,,,,cg14256180,
,,,,cg25026957,
,,,,cg06596955,
,,,,cg16100555,
,,,,cg23180534,
,,,,cg20028411,
,,,,cg12106743,
,,,,cg14380426,
,,,,cg19860245,
,,,,cg04716394,
,,,,cg00934624,
,,,,cg22833375,
,,,,cg15729423,
,,,,cg13150564,
,,,,cg01511804,
,,,,cg02298881,
,,,,cg21512075,
,,,,cg03510158,
,,,,cg08234285,
,,,,cg02275830,
,,,,cg26579653,
,,,,cg19969431,
,,,,cg09978906,
,,,,cg02351655,
,,,,cg04395006,
,,,,cg01469719,
,,,,cg03442564,
,,,,cg01485157,
,,,,cg01851968,
,,,,cg07800034,
,,,,cg04185382,
,,,,cg12071544,
,,,,cg02048412,
,,,,cg12486287,
,,,,cg09276451,
,,,,cg27554551,
,,,,cg02102684,
,,,,cg01793945,
,,,,cg04033718,
,,,,cg00055052,
,,,,cg00585033,
,,,,cg03527867,
,,,,cg00460436,
,,,,cg12521055,
,,,,cg01407460,
,,,,cg16554933,
,,,,cg01346748,
,,,,cg00246366,
,,,,cg22074242,
,,,,cg10196372,
,,,,cg22151587,
,,,,cg05678729,
,,,,cg06416760,
,,,,cg09515097,
,,,,cg10396357,
,,,,cg00038436,
,,,,cg13035052,
,,,,cg00021532,
,,,,cg27593593,
,,,,cg06578342,
,,,,cg07102450,
,,,,cg03076094,
,,,,cg00927231,
,,,,cg26929348,
,,,,cg01429635,
,,,,cg05998503,
,,,,cg09866598,
,,,,cg00720747,
,,,,cg06206471,
,,,,cg01741626,
,,,,cg02500443,
,,,,cg26852971,
,,,,cg03541056,
,,,,cg09737078,
,,,,cg04334651,
,,,,cg04123578,
,,,,cg08494738,
,,,,cg01385708,
,,,,cg04389164,
,,,,cg16690037,
,,,,cg07204255,
,,,,cg03791450,
,,,,cg06468809,
,,,,cg07302934,
,,,,cg01934797,
,,,,cg22616007,
,,,,cg01262566,
,,,,cg04719112,
,,,,cg08909416,
,,,,cg15195353,
,,,,cg03543448,
,,,,cg03621837,
,,,,cg16570634,
,,,,cg08647091,
,,,,cg16518708,
,,,,cg09011038,
,,,,cg08730747,
,,,,cg26490274,
,,,,cg01498911,
,,,,cg04252592,
,,,,cg08602528,
,,,,cg04694492,
,,,,cg08060501,
,,,,cg01406317,
,,,,cg02839220,
,,,,cg06349450,
,,,,cg26506790,
,,,,cg02928123,
,,,,cg04525335,
,,,,cg04218745,
,,,,cg01984854,
,,,,cg26720235,
,,,,cg17874109,
,,,,cg04043382,
,,,,cg07843576,
,,,,cg00782355,
,,,,cg07337914,
,,,,cg00767503,
,,,,cg27440995,
,,,,cg09780767,
,,,,cg00830121,
,,,,cg16564358,
,,,,cg09684264,
,,,,cg05946309,
,,,,cg27256066,
,,,,cg14986962,
,,,,cg06672120,
,,,,cg26970841,
,,,,cg03978375,
,,,,cg24826867,
,,,,cg04597312,
,,,,cg07955474,
,,,,cg07660635,
,,,,cg10526478,
,,,,cg04599946,
,,,,cg16705546,
,,,,cg27208925,
,,,,cg09100014,
,,,,cg08277259,
,,,,cg01951963,
,,,,cg10334323,
,,,,cg02549595,
,,,,cg02843417,
,,,,cg03643032,
,,,,cg16702747,
,,,,cg02261047,
,,,,cg26686361,
,,,,cg02178957,
,,,,cg05677184,
,,,,cg01810713,
,,,,cg03127886,
,,,,cg06951664,
,,,,cg04868072,
,,,,cg07829181,
,,,,cg01132020,
,,,,cg08645860,
,,,,cg03848483,
,,,,cg01372811,
,,,,cg02835823,
,,,,cg00093433,
,,,,cg10274029,
,,,,cg08428292,
,,,,cg01574513,
,,,,cg18802138,
,,,,cg09714919,
,,,,cg16701852,
,,,,cg27632179,
,,,,cg08705942,
,,,,cg00989229,
,,,,cg00206468,
,,,,cg05498785,
,,,,cg01398502,
,,,,cg15159987,
,,,,cg15025569,
,,,,cg03046327,
,,,,cg08200625,
,,,,cg13751927,
,,,,cg24724181,
,,,,cg03636183,
,,,,cg10256336,
,,,,cg14021375,
,,,,cg19006008,
,,,,cg14753355,
,,,,cg08067617,
,,,,cg05211836,
,,,,cg04259305,
,,,,cg23948016,
,,,,cg06866140,
,,,,cg18033235,
,,,,cg01677310,
,,,,cg04697482,
,,,,cg00757391,
,,,,cg11390978,
,,,,cg03384915,
,,,,cg07826747,
,,,,cg22905550,
,,,,cg13628901,
,,,,cg02477579,
,,,,cg12166435,
,,,,cg06815056,
,,,,cg26363935,
,,,,cg09500002,
,,,,cg26527655,
,,,,cg22652849,
,,,,cg07476792,
,,,,cg08563299,
,,,,cg18179491,
,,,,cg20215598,
,,,,cg05607935,
,,,,cg22209431,
,,,,cg03162143,
,,,,cg05364179,
,,,,cg26690744,
,,,,cg13956645,
,,,,cg08462372,
,,,,cg11484403,
,,,,cg05757005,
,,,,cg24012465,
,,,,cg26693817,
,,,,cg11229771,
,,,,cg27149937,
,,,,cg20597264,
,,,,cg26397250,
,,,,cg21510549,
,,,,cg03291607,
,,,,cg00562118,
,,,,cg13467708,
,,,,cg27357918,
,,,,cg01052636,
,,,,cg21546981,
,,,,cg22438522,
,,,,cg17632028,
,,,,cg10049783,
,,,,cg21320793,
,,,,cg00392156,
,,,,cg04795389,
,,,,cg12616592,
,,,,cg11301215,
,,,,cg05198297,
,,,,cg21784894,
,,,,cg16735290,
,,,,cg17643796,
,,,,cg24674437,
,,,,cg20444990,
,,,,cg18138842,
,,,,cg09095914,
,,,,cg04529193,
,,,,cg18702278,
,,,,cg05139709,
,,,,cg13142019,
,,,,cg20738372,
,,,,cg01681072,
,,,,cg22176143,
,,,,cg14080925,
,,,,cg17245405,
,,,,cg11164441,
,,,,cg06677470,
,,,,cg16955704,
,,,,cg23980776,
,,,,cg14470398,
,,,,cg17035770,
,,,,cg04722722,
,,,,cg14226747,
,,,,cg02294020,
,,,,cg11572308,
,,,,cg23659308,
,,,,cg09468777,
,,,,cg01967511,
,,,,cg06659629,
,,,,cg13036656,
,,,,cg09622122,
,,,,cg14125583,
,,,,cg05406334,
,,,,cg08574758,
,,,,cg20576162,
,,,,cg17966435,
,,,,cg23970089,
,,,,cg16238933,
,,,,cg04748051,
,,,,cg09595537,
,,,,cg10635789,
,,,,cg05760641,
,,,,cg26057380,
,,,,cg21224049,
,,,,cg26210267,
,,,,cg25282072,
,,,,cg04398861,
,,,,cg18176712,
,,,,cg21254883,
,,,,cg17073306,
,,,,cg23595927,
,,,,cg08555912,
,,,,cg15201545,
,,,,cg17035899,
,,,,cg19427345,
,,,,cg23143502,
,,,,cg04820911,
,,,,cg01881828,
,,,,cg01353064,
,,,,cg05671702,
,,,,cg05625074,
,,,,cg02180633,
,,,,cg09763814,
,,,,cg06769258,
,,,,cg04186606,
,,,,cg23681017,
,,,,cg05827190,
,,,,cg07086226,
,,,,cg13656831,
,,,,cg24693053,
,,,,cg17121747,
,,,,cg02096793,
,,,,cg14876761,
,,,,cg17952262,
,,,,cg25510614,
,,,,cg21498785,
,,,,cg25628461,
,,,,cg11648720,
,,,,cg24029640,
,,,,cg07465899,
,,,,cg00252616,
,,,,cg24925839,
,,,,cg23547048,
,,,,cg15843217,
,,,,cg23986975,
,,,,cg03683031,
,,,,cg19390329,
,,,,cg07416975,
,,,,cg12796272,
,,,,cg13941682,
,,,,cg00777679,
,,,,cg27259548,
,,,,cg20313298,
,,,,cg06636526,
,,,,cg09269619,
,,,,cg22777513,
,,,,cg01737906,
,,,,cg03918377,
,,,,cg27210415,
,,,,cg10156669,
,,,,cg24028958,
,,,,cg09091273,
,,,,cg26131879,
,,,,cg25670583,
,,,,cg25712567,
,,,,cg16767590,
,,,,cg07224469,
,,,,cg23077453,
,,,,cg17170743,
,,,,cg23376390,
,,,,cg14024328,
,,,,cg21942184,
,,,,cg07697227,
,,,,cg17397159,
,,,,cg17705041,
,,,,cg10864200,
,,,,cg00614959,
,,,,cg24899692,
,,,,cg00230205,
,,,,cg05995460,
,,,,cg18140479,
,,,,cg08923624,
,,,,cg03271827,
,,,,cg10843276,
,,,,cg15536717,
,,,,cg15257681,
,,,,cg00810986,
,,,,cg26689643,
,,,,cg05708637,
,,,,cg26006473,
,,,,cg06843632,
,,,,cg24798995,
,,,,cg15538428,
,,,,cg23464319,
,,,,cg07017998,
,,,,cg16754522,
,,,,cg17265115,
,,,,cg08766099,
,,,,cg06401197,
,,,,cg00169930,
,,,,cg03993213,
,,,,cg01972919,
,,,,cg25699199,
,,,,cg04183638,
,,,,cg18746382,
,,,,cg21445527,
,,,,cg17547928,
,,,,cg06148468,
,,,,cg14425960,
,,,,cg23486923,
,,,,cg07303744,
,,,,cg23991169,
,,,,cg23034496,
,,,,cg20808227,
,,,,cg12544647,
,,,,cg00864568,
,,,,cg10009224,
,,,,cg20758929,
,,,,cg13485809,
,,,,cg00920839,
,,,,cg21850702,
,,,,cg01017228,
,,,,cg17886413,
,,,,cg04058270,
,,,,cg27349909,
,,,,cg14246227,
,,,,cg22213235,
,,,,cg02809796,
,,,,cg17055721,
,,,,cg02729561,
,,,,cg01969796,
,,,,cg06275417,
,,,,cg20361267,
,,,,cg26319363,
,,,,cg05584737,
,,,,cg21013983,
,,,,cg19361269,
,,,,cg13168374,
,,,,cg27535687,
,,,,cg03110300,
,,,,cg00511081,
,,,,cg16862624,
,,,,cg13238909,
,,,,cg13749420,
,,,,cg15103584,
,,,,cg06620569,
,,,,cg00814752,
,,,,cg03671802,
,,,,cg27189087,
,,,,cg03074888,
,,,,cg08724563,
,,,,cg27019126,
,,,,cg00397673,
,,,,cg06676637,
,,,,cg19576304,
,,,,cg03160145,
,,,,cg19621753,
,,,,cg15172543,
,,,,cg25112291,
,,,,cg27602263,
,,,,cg07099161,
,,,,cg07835051,
,,,,cg12605662,
,,,,cg12083217,
,,,,cg26775191,
,,,,cg00885606,
,,,,cg15133018,
,,,,cg05568490,
,,,,cg22491141,
,,,,cg19165390,
,,,,cg12835181,
,,,,cg22154449,
,,,,cg27181574,
,,,,cg01625242,
,,,,cg16899265,
,,,,cg25260683,
,,,,cg15633664,
,,,,cg26460471,
,,,,cg24131595,
,,,,cg12927990,
,,,,cg15108347,
,,,,cg17093795,
,,,,cg23357981,
,,,,cg19611392,
,,,,cg00980625,
,,,,cg26474014,
,,,,cg03642549,
,,,,cg24640272,
,,,,cg26279708,
,,,,cg10413342,
,,,,cg07316676,
,,,,cg17547346,
,,,,cg14797243,
,,,,cg20273122,
,,,,cg18254937,
,,,,cg08826843,
,,,,cg15943437,
,,,,cg26065952,
,,,,cg16704834,
,,,,cg10606903,
,,,,cg11792649,
,,,,cg04772025,
,,,,cg06837552,
,,,,cg02786073,
,,,,cg07716408,
,,,,cg18350739,
,,,,cg01988459,
,,,,cg04008888,
,,,,cg10879867,
,,,,cg07511668,
,,,,cg03976782,
,,,,cg25026125,
,,,,cg24207493,
,,,,cg12778395,
,,,,cg20562447,
,,,,cg14073497,
,,,,cg16296442,
,,,,cg25721132,
,,,,cg24366211,
,,,,cg25890640,
,,,,cg18445292,
,,,,cg15616358,
,,,,cg19596755,
,,,,cg02617757,
,,,,cg23404110,
,,,,cg22345647,
,,,,cg10132543,
,,,,cg20201954,
,,,,cg01260103,
,,,,cg09806934,
,,,,cg01082498,
,,,,cg17058475,
,,,,cg09737197,
,,,,cg00574958,
,,,,cg26989316,
,,,,cg12598007,
,,,,cg14443077,
,,,,cg09038717,
,,,,cg07061269,
,,,,cg22856183,
,,,,cg13978021,
,,,,cg02254581,
,,,,cg25560471,
,,,,cg16553354,
,,,,cg19424820,
,,,,cg17609771,
,,,,cg08048948,
,,,,cg01760580,
,,,,cg23252919,
,,,,cg07031897,
,,,,cg20181928,
,,,,cg20156080,
,,,,cg12544293,
,,,,cg06030133,
,,,,cg09376935,
,,,,cg04715092,
,,,,cg18812198,
,,,,cg04288108,
,,,,cg26335578,
,,,,cg05592911,
,,,,cg09510077,
,,,,cg25638602,
,,,,cg08826345,
,,,,cg22543026,
,,,,cg10517317,
,,,,cg15965190,
,,,,cg10440877,
,,,,cg19479609,
,,,,cg10723020,
,,,,cg23761332,
,,,,cg01724041,
,,,,cg03090513,
,,,,cg22739477,
,,,,cg19956940,
,,,,cg06691214,
,,,,cg05727155,
,,,,cg08862564,
,,,,cg18579327,
,,,,cg16641411,
,,,,cg10495393,
,,,,cg06629337,
,,,,cg27198931,
,,,,cg21124940,
,,,,cg17821158,
,,,,cg07381549,
,,,,cg19423175,
,,,,cg07713495,
,,,,cg18156417,
,,,,cg18608290,
,,,,cg25990678,
,,,,cg18236745,
,,,,cg01592263,
,,,,cg01291544,
,,,,cg08468472,
,,,,cg26771559,
,,,,cg08644106,
,,,,cg25777714,
,,,,cg21893559,
,,,,cg19443642,
,,,,cg00910907,
,,,,cg27578987,
,,,,cg10674611,
,,,,cg27001643,
,,,,cg21310017,
,,,,cg07926644,
,,,,cg13619768,
,,,,cg21025876,
,,,,cg02163486,
,,,,cg09263111,
,,,,cg20695368,
,,,,cg00804031,
,,,,cg22298500,
,,,,cg17655576,
,,,,cg19832952,
,,,,cg13750350,
,,,,cg19713565,
,,,,cg21206277,
,,,,cg00007324,
,,,,cg14017045,
,,,,cg07779777,
,,,,cg01380634,
,,,,cg15810996,
,,,,cg00405939,
,,,,cg15842568,
,,,,cg18400751,
,,,,cg03971023,
,,,,cg24295300,
,,,,cg08217234,
,,,,cg20666186,
,,,,cg07764916,
,,,,cg00253971,
,,,,cg19145995,
,,,,cg26501450,
,,,,cg21740826,
,,,,cg09352107,
,,,,cg04428320,
,,,,cg14245421,
,,,,cg08079694,
,,,,cg17260318,
,,,,cg04053969,
,,,,cg02010868,
,,,,cg18303175,
,,,,cg19231244,
,,,,cg21104167,
,,,,cg10721001,
,,,,cg03176143,
,,,,cg24052148,
,,,,cg04765236,
,,,,cg10561472,
,,,,cg10633491,
,,,,cg06403289,
,,,,cg01490283,
,,,,cg12835352,
,,,,cg07602690,
,,,,cg19841405,
,,,,cg02218768,
,,,,cg07328519,
,,,,cg02993991,
,,,,cg04727071,
,,,,cg16242615,
,,,,cg14679780,
,,,,cg13705556,
,,,,cg24828746,
,,,,cg04603976,
,,,,cg05574870,
,,,,cg27196194,
,,,,cg27301596,
,,,,cg07248461,
,,,,cg08620237,
,,,,cg14307687,
,,,,cg16756589,
,,,,cg22681186,
,,,,cg19422140,
,,,,cg13798825,
,,,,cg11967592,
,,,,cg17818220,
,,,,cg05277054,
,,,,cg00576774,
,,,,cg05083033,
,,,,cg06647007,
,,,,cg09450153,
,,,,cg21840806,
,,,,cg22986281,
,,,,cg26483505,
,,,,cg00976658,
,,,,cg00441898,
,,,,cg05351887,
,,,,cg05991492,
,,,,cg01971227,
,,,,cg00655143,
,,,,cg04801647,
,,,,cg08825075,
,,,,cg03264209,
,,,,cg00039463,
,,,,cg08506924,
,,,,cg24567591,
,,,,cg00747661,
,,,,cg03039399,
,,,,cg04996852,
,,,,cg04818078,
,,,,cg05557932,
,,,,cg02717454,
,,,,cg02578162,
,,,,cg01312837,
,,,,cg01591591,
,,,,cg08402498,
,,,,cg27035480,
,,,,cg08364730,
,,,,cg08211120,
,,,,cg05194552,
,,,,cg06716922,
,,,,cg08156867,
,,,,cg03761291,
,,,,cg14656043,
,,,,cg05602439,
,,,,cg13180232,
,,,,cg12752935,
,,,,cg19123462,
,,,,cg16715662,
,,,,cg14182120,
,,,,cg04943713,
,,,,cg23398095,
,,,,cg12762583,
,,,,cg23145206,
,,,,cg17426923,
,,,,cg00094817,
,,,,cg19033615,
,,,,cg00937932,
,,,,cg17679427,
,,,,cg10031769,
,,,,cg07891983,
,,,,cg19505862,
,,,,cg26273724,
,,,,cg02972356,
,,,,cg02651820,
,,,,cg27509202,
,,,,cg10013645,
,,,,cg26679713,
,,,,cg05235248,
,,,,cg16988166,
,,,,cg17245290,
,,,,cg06112654,
,,,,cg18958224,
,,,,cg13524748,
,,,,cg06143290,
,,,,cg19025193,
,,,,cg03584094,
,,,,cg23218877,
,,,,cg18182566,
,,,,cg14911242,
,,,,cg14941975,
,,,,cg01895890,
,,,,cg19001023,
,,,,cg18238340,
,,,,cg24183741,
,,,,cg05333753,
,,,,cg15895505,
,,,,cg12106761,
,,,,cg03487407,
,,,,cg10905545,
,,,,cg16403659,
,,,,cg23413396,
,,,,cg00848336,
,,,,cg18299778,
,,,,cg20300135,
,,,,cg26120279,
,,,,cg23976487,
,,,,cg27295939,
,,,,cg00754740,
,,,,cg16608593,
,,,,cg05120150,
,,,,cg04957209,
,,,,cg16123211,
,,,,cg24727433,
,,,,cg04425783,
,,,,cg18278596,
,,,,cg27055366,
,,,,cg24173769,
,,,,cg05324618,
,,,,cg18124009,
,,,,cg05834191,
,,,,cg09987231,
,,,,cg14377923,
,,,,cg18388431,
,,,,cg16118426,
,,,,cg27100511,
,,,,cg05365825,
,,,,cg01769288,
,,,,cg16072427,
,,,,cg09230661,
,,,,cg00458829,
,,,,cg21690282,
,,,,cg04514868,
,,,,cg09255034,
,,,,cg27156542,
,,,,cg26338030,
,,,,cg14480449,
,,,,cg25023215,
,,,,cg20262021,
,,,,cg07084930,
,,,,cg20482280,
,,,,cg01759870,
,,,,cg10740573,
,,,,cg27082076,
,,,,cg19509076,
,,,,cg10750828,
,,,,cg15532667,
,,,,cg02155796,
,,,,cg23411981,
,,,,cg03451296,
,,,,cg23542308,
,,,,cg07046399,
,,,,cg18576588,
,,,,cg17818900,
,,,,cg23938542,
,,,,cg01689641,
,,,,cg11225573,
,,,,cg22556036,
,,,,cg08182193,
,,,,cg01564661,
,,,,cg00684283,
,,,,cg13667739,
,,,,cg06285241,
,,,,cg04439622,
,,,,cg04329125,
,,,,cg27279301,
,,,,cg05185038,
,,,,cg12488111,
,,,,cg26326372,
,,,,cg01626707,
,,,,cg13805951,
,,,,cg06618474,
,,,,cg26110883,
,,,,cg07065217,
,,,,cg01862418,
,,,,cg22861279,
,,,,cg23703963,
,,,,cg04411625,
,,,,cg25682097,
,,,,cg11763800,
,,,,cg02395812,
,,,,cg22836535,
,,,,cg05252161,
,,,,cg00801636,
,,,,cg20552688,
,,,,cg10900643,
,,,,cg21575078,
,,,,cg11528307,
,,,,cg04402626,
,,,,cg21198603,
,,,,cg13097719,
,,,,cg14190943,
,,,,cg18112005,
,,,,cg21241291,
,,,,cg14123048,
,,,,cg13332088,
,,,,cg24348707,
,,,,cg14118465,
,,,,cg08263561,
,,,,cg18591945,
,,,,cg25007781,
,,,,cg12050054,
,,,,cg19879265,
,,,,cg19525780,
,,,,cg03495832,
,,,,cg22862412,
,,,,cg11724557,
,,,,cg00973115,
,,,,cg15034599,
,,,,cg10797737,
,,,,cg10091144,
,,,,cg24997703,
,,,,cg18877361,
,,,,cg25974380,
,,,,cg26360402,
,,,,cg16717191,
,,,,cg25008857,
,,,,cg05890252,
,,,,cg24112010,
,,,,cg23479053,
,,,,cg07037750,
,,,,cg23886551,
,,,,cg21492832,
,,,,cg22634689,
,,,,cg01545587,
,,,,cg11597832,
,,,,cg11042361,
,,,,cg04284678,
,,,,cg15178202,
,,,,cg11827998,
,,,,cg03699601,
,,,,cg08859352,
,,,,cg23356831,
,,,,cg14402406,
,,,,cg14905514,
,,,,cg14053657,
,,,,cg19840859,
,,,,cg21899542,
,,,,cg10024437,
,,,,cg26297506,
,,,,cg07458849,
,,,,cg05288381,
,,,,cg01941309,
,,,,cg27021783,
,,,,cg18182566,
,,,,cg14911242,
,,,,cg14941975,
,,,,cg01895890,
,,,,cg19001023,
,,,,cg18238340,
,,,,cg24183741,
,,,,cg05333753,
,,,,cg15895505,
,,,,cg12106761,
,,,,cg03487407,
,,,,cg10905545,
,,,,cg16403659,
,,,,cg23413396,
,,,,cg00848336,
,,,,cg18299778,
,,,,cg20300135,
,,,,cg26120279,
,,,,cg23976487,
,,,,cg27295939,
,,,,cg00754740,
,,,,cg16608593,
,,,,cg05120150,
,,,,cg04957209,
,,,,cg16123211,
,,,,cg24727433,
,,,,cg04425783,
,,,,cg18278596,
,,,,cg27055366,
,,,,cg24173769,
,,,,cg05324618,
,,,,cg18124009,
,,,,cg05834191,
,,,,cg09987231,
,,,,cg14377923,
,,,,cg18388431,
,,,,cg16118426,
,,,,cg27100511,
,,,,cg05365825,
,,,,cg01769288,
,,,,cg16072427,
,,,,cg09230661,
,,,,cg00458829,
,,,,cg21690282,
,,,,cg04514868,
,,,,cg09255034,
,,,,cg27156542,
,,,,cg26338030,
,,,,cg14480449,
,,,,cg25023215,
,,,,cg20262021,
,,,,cg07084930,
,,,,cg20482280,
,,,,cg01759870,
,,,,cg10740573,
,,,,cg27082076,
,,,,cg19509076,
,,,,cg10750828,
,,,,cg15532667,
,,,,cg02155796,
,,,,cg23411981,
,,,,cg03451296,
,,,,cg23542308,
,,,,cg07046399,
,,,,cg18576588,
,,,,cg17818900,
,,,,cg23938542,
,,,,cg01689641,
,,,,cg11225573,
,,,,cg22556036,
,,,,cg08182193,
,,,,cg01564661,
,,,,cg00684283,
,,,,cg13667739,
,,,,cg06285241,
,,,,cg04439622,
,,,,cg04329125,
,,,,cg27279301,
,,,,cg05185038,
,,,,cg12488111,
,,,,cg26326372,
,,,,cg01626707,
,,,,cg13805951,
,,,,cg06618474,
,,,,cg26110883,
,,,,cg07065217,
,,,,cg01862418,
,,,,cg22861279,
,,,,cg23703963,
,,,,cg04411625,
,,,,cg25682097,
,,,,cg11763800,
,,,,cg02395812,
,,,,cg22836535,
,,,,cg05252161,
,,,,cg00801636,
,,,,cg20552688,
,,,,cg10900643,
,,,,cg21575078,
,,,,cg11528307,
,,,,cg04402626,
,,,,cg21198603,
,,,,cg13097719,
,,,,cg14190943,
,,,,cg18112005,
,,,,cg21241291,
,,,,cg14123048,
,,,,cg13332088,
,,,,cg24348707,
,,,,cg14118465,
,,,,cg08263561,
,,,,cg18591945,
,,,,cg25007781,
,,,,cg12050054,
,,,,cg19879265,
,,,,cg19525780,
,,,,cg03495832,
,,,,cg22862412,
,,,,cg11724557,
,,,,cg00973115,
,,,,cg15034599,
,,,,cg10797737,
,,,,cg10091144,
,,,,cg24997703,
,,,,cg18877361,
,,,,cg25974380,
,,,,cg26360402,
,,,,cg16717191,
,,,,cg25008857,
,,,,cg05890252,
,,,,cg24112010,
,,,,cg23479053,
,,,,cg07037750,
,,,,cg23886551,
,,,,cg21492832,
,,,,cg22634689,
,,,,cg01545587,
,,,,cg11597832,
,,,,cg11042361,
,,,,cg04284678,
,,,,cg15178202,
,,,,cg11827998,
,,,,cg03699601,
,,,,cg08859352,
,,,,cg23356831,
,,,,cg14402406,
,,,,cg14905514,
,,,,cg14053657,
,,,,cg19840859,
,,,,cg21899542,
,,,,cg10024437,
,,,,cg26297506,
,,,,cg07458849,
,,,,cg10249246,
,,,,cg07009895,
,,,,cg13019878,
,,,,cg25854797,
,,,,cg14093553,
,,,,cg13192788,
,,,,cg01997089,
,,,,cg08140039,
,,,,cg01318265,
,,,,cg13981078,
,,,,cg21517792,
,,,,cg16531924,
,,,,cg20222911,
,,,,cg23883989,
,,,,cg23966123,
,,,,cg01655777,
,,,,cg23123838,
,,,,cg11113759,
,,,,cg11146173,
,,,,cg05922925,
,,,,cg01166186,
,,,,cg22177309,
,,,,cg19500056,
,,,,cg03135598,
,,,,cg19401969,
,,,,cg20635595,
,,,,cg16745967,
,,,,cg01035107,
,,,,cg04753786,
,,,,cg11577646,
,,,,cg14058998,
,,,,cg21661138,
,,,,cg23384886,
,,,,cg21736108,
,,,,cg01414357,
,,,,cg19217571,
